Loan_ID,Gender,Married,Education,ApplicantIncome,PD_Probability,Predicted_EAD_Amount,Predicted_LGD_Rate,Expected_Loss_Value,Risk_Segment
LP001186,Female,Yes,Graduate,10171.25,0.907,232.35,0.5499,115.89,High Risk
LP001610,Male,Yes,Graduate,5516.0,0.759,238.45,0.5603,101.41,High Risk
LP001379,Male,Yes,Graduate,3800.0,0.8046,206.77,0.5306,88.27,High Risk
LP001633,Male,Yes,Graduate,6400.0,0.9002,197.13,0.4966,88.12,High Risk
LP001945,Female,No,Graduate,5417.0,0.9022,150.23,0.5791,78.49,High Risk
LP001677,Male,No,Graduate,4923.0,0.785,178.12,0.5535,77.39,High Risk
LP001910,Male,No,Not Graduate,4053.0,0.9693,155.64,0.505,76.19,High Risk
LP002068,Male,No,Graduate,4917.0,0.918,139.11,0.5711,72.93,High Risk
LP002335,Female,Yes,Not Graduate,2149.0,0.8379,176.22,0.4876,72.0,High Risk
LP002130,Male,Yes,Not Graduate,3523.0,0.9243,149.98,0.5094,70.62,High Risk
LP002990,Female,No,Graduate,4583.0,0.8522,139.19,0.5546,65.79,High Risk
LP001528,Male,No,Graduate,6277.0,0.9079,124.96,0.5704,64.71,High Risk
LP002723,Male,No,Graduate,3588.0,0.8729,118.7,0.5483,56.81,High Risk
LP001014,Male,Yes,Graduate,3036.0,0.6536,161.96,0.5347,56.6,High Risk
LP002140,Male,No,Graduate,8750.0,0.4322,244.28,0.5122,54.08,High Risk
LP002205,Male,No,Graduate,3062.0,0.9125,113.84,0.5144,53.44,High Risk
LP002837,Male,Yes,Graduate,3400.0,0.7814,125.93,0.5425,53.38,High Risk
LP002682,Male,Yes,Not Graduate,3074.0,0.8401,125.25,0.5031,52.94,High Risk
LP001565,Male,Yes,Graduate,3089.0,0.7812,126.83,0.5243,51.95,High Risk
LP001630,Male,No,Not Graduate,2333.0,0.9411,104.47,0.5112,50.26,High Risk
LP001146,Female,Yes,Graduate,2645.0,0.8016,120.19,0.5157,49.68,High Risk
LP002776,Female,No,Graduate,5000.0,0.8087,106.13,0.5711,49.02,High Risk
LP001938,Male,Yes,Graduate,4400.0,0.6577,137.07,0.5438,49.02,High Risk
LP001050,Male,Yes,Not Graduate,3365.0,0.8668,111.29,0.5033,48.55,High Risk
